"Pais","Sigla","Clima_Predominante","Municipio","Codigo ibge Municipio","tipo de solo predominante","semente_ideal_solo","ph_min_solo","ph_max_solo","Desc","Espaçamento Min (cm) entre mudas","Espaçamento Max (cm)","Tempo de Crescimento (dias)","Umidade Ideal (%)","Despesa","Lucro","qtdProduzidaPé","Estação","Valor entre 0 e 1"
"Brasil","AC","Equatorial","Acrelândia","1200013","Latossolo Vermelho","Pimenta ","4.5","6.1","A semente de pimenta (Capsicum annuum) é usada para cultivar plantas que produzem frutos de diversas cores e sabores, desde suaves até picantes.","30","45","75-100","60-70","3.00","0.30","75","Verão","0"
"Brasil","AC","Equatorial","Acrelândia","1200014","Latossolo Vermelho","Café ","4.5","6.1","Indisponivel","300","400","3-5 anos (para frutificação)","70-80","26.50","0.60","300","Outono","1"
"Brasil","AC","Equatorial","Acrelândia","1200015","Latossolo Vermelho","Abacaxi ","4.5","6.1","A semente de abacaxi (Ananas comosus) é usada para cultivar plantas que produzem frutos tropicais suculentos e doces. Os abacaxis são conhecidos pelo sabor refrescante e são consumidos frescos ou em preparações culinárias. ","100","150","18-24 meses","70-80","38.99","5.99","9","Verão","2"
"Brasil","AC","Equatorial","Acrelândia","1200016","Latossolo Vermelho","Cacau ","4.5","6.1","A semente de cacau (Theobroma cacao) é usada para cultivar árvores que produzem frutos dos quais o chocolate é feito. As sementes de cacau são fermentadas e processadas para criar chocolate.","300","400","3-5 anos (para frutificação)","70-80","23.00","3.50","200","Primavera","3"
"Brasil","AC","Equatorial","Acrelândia","1200018","Latossolo Vermelho","Banana","4.5","6.1","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","13.00","0.66","179","Verão","4"
"Brasil","AC","Equatorial","Acrelândia","1200019","Latossolo Vermelho","Maracujá ","4.5","6.1","A semente de maracujá (Passiflora edulis) é usada para cultivar plantas trepadeiras que produzem frutos com polpa suculenta e sementes comestíveis. Os maracujás são frequentemente usados para fazer sucos e sobremesas.","100","150","1-2 anos","70-80","120.50","2.50","190","Verão","5"
"Brasil","AC","Equatorial","Acrelândia","1200020","Latossolo Vermelho","Gengibre ","4.5","6.1","A semente de gengibre (Zingiber officinale) é usada para cultivar plantas que produzem rizomas subterrâneos aromáticos e picantes. O gengibre é valorizado por suas propriedades culinárias e medicinais.","20","30","240-300","70-80","6","1.99","4", "Verão","6"
"Brasil","AC","Equatorial","Acrelândia","1200021","Latossolo Vermelho","Caju ","4.5","6.1","A semente de caju (Anacardium occidentale) é usada para cultivar árvores que produzem frutos com pedúnculo suculento e castanhas comestíveis. Os cajus são consumidos frescos e as castanhas são utilizadas em preparações culinárias.","300","400","2-3 meses (pedúnculo)","60-70","18.99","2.50","120","Verão","7"
"Brasil","AC","Equatorial","Acrelândia","1200023","Latossolo Vermelho","Banana","4.5","6.1","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","13.00","0.66","179","Verão","8"
"Brasil","AC","Equatorial","Brasiléia","1200104","Gleissolo Flúvico ","Espinafre","3.0","5.5","A semente de espinafre (Spinacia oleracea) é usada para cultivar folhas verdes ricas em nutrientes. O espinafre é valorizado por sua versatilidade culinária e alto teor de ferro.","10","15","40-50","50-60","2.30","3.00","1","Primavera","9"
"Brasil","AC","Equatorial","Bujari","1200138","Gleissolo Melânico","Acelga","3.0","5.5","A semente de acelga (Beta vulgaris var. cicla) é usada para cultivar plantas de folhas verdes com talos coloridos. A acelga é consumida cozida e suas folhas e talos são usados separadamente em preparações culinárias.","20","30","50-60","50-70","0.50","0.75","1","Verão","10"
"Brasil","AC","Equatorial","Bujari","1200139","Gleissolo Melânico","Cenoura","3.0","5.5","A semente de cenoura (Daucus carota) é usada para cultivar plantas que produzem raízes comestíveis em várias cores. As cenouras são apreciadas por seu sabor doce e são consumidas cruas, cozidas e em pratos diversos.","5","10","60-80","50-60","2.00","1.20","3","Verão","11"
"Brasil","AC","Equatorial","Bujari","1200140","Gleissolo Melânico","Pepino","3.0","5.5","A semente de pepino (Cucumis sativus) é usada para cultivar plantas rasteiras que produzem frutos alongados e suculentos. Os pepinos são amplamente consumidos frescos em saladas e como lanches.","40","60","50-70","70-80","15.00","5.99","2","Outono","12"
"Brasil","AC","Equatorial","Bujari","1200141","Gleissolo Melânico","Cebola","3.0","5.5","A semente de cebola (Allium cepa) é usada para cultivar plantas que produzem bulbos comestíveis de várias cores. As cebolas são usadas como tempero em muitas culinárias e pratos.","10","15","90-120","50-70","1.00","0.40","3","Outono","13"
"Brasil","AC","Equatorial","Bujari","1200142","Gleissolo Melânico","Hortelã","3.0","5.5","A semente de hortelã (Mentha spp.) é usada para cultivar plantas aromáticas e culinárias. A hortelã é usada em chás, sobremesas e outros pratos.","20","30","60-90","50-60","3.50","0.60","7","Inverno","14"
"Brasil","AC","Equatorial","Bujari","1200143","Gleissolo Melânico","Manjericão","3.0","5.5","A semente de manjericão (Ocimum basilicum) é usada para cultivar plantas aromáticas e culinárias. O manjericão é amplamente usado em pratos mediterrâneos e é valorizado por seu aroma e sabor únicos.","20","30","60-90","50-60","15.00","5.99","2","Outono","15"
"Brasil","AC","Equatorial","Bujari","1200146","Gleissolo Melânico","Caruru","3.0","5.5","Indisponivel","5","10","60-80","50-60","7.00","1.20","8","Verão","16"
"Brasil","AC","Equatorial","Bujari","1200147","Gleissolo Melânico","Coentro","3.0","5.5","A semente de coentro (Coriandrum sativum) é usada para cultivar plantas aromáticas e culinárias. O coentro é usado em uma variedade de culinárias e é valorizado por suas folhas e sementes.","10","15","90-120","50-60","0.50","0.60","2","Verão","17"
"Brasil","AC","Equatorial","Bujari","1200149","Gleissolo Melânico","Agrião","3.0","5.5","A semente de agrião (Nasturtium officinale) é usada para cultivar folhas verdes e picantes. O agrião é consumido em saladas e também tem propriedades medicinais.","10","15","30-40","50-70","0.05","3.00","1","Primavera","18"
"Brasil","AC","Equatorial","Bujari","1200150","Gleissolo Melânico","Rúcula","3.0","5.5","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","4.50","3.00","2","Outono","19"
"Brasil","AC","Equatorial","Bujari","1200151","Gleissolo Melânico","Mamão","3.0","5.5","A semente de mamão (Carica papaya) é usada para cultivar árvores que produzem frutos grandes e suculentos. O mamão é valorizado por seu sabor doce e suas enzimas digestivas.","200","300","6-9 meses (para frutificação)","70-80","27","6.00","4","Outono","20"
"Brasil","AC","Equatorial","Bujari","1200152","Gleissolo Melânico","Cacau ","3.0","5.5","A semente de cacau (Theobroma cacao) é usada para cultivar árvores que produzem frutos dos quais o chocolate é feito. As sementes de cacau são fermentadas e processadas para criar chocolate.","300","400","3-5 anos (para frutificação)","70-80","23.00","3.50","200","Primavera","21"
"Brasil","AC","Equatorial","Bujari","1200153","Gleissolo Melânico","Manga","3.0","5.5","A semente de manga (Mangifera indica) é usada para cultivar árvores que produzem frutos suculentos e doces em uma variedade de cores e sabores. As mangas são apreciadas em todo o mundo e podem ser consumidas frescas ou processadas.","300","400","5-10 anos","70-80","150","2.00","70","Primavera","22"
"Brasil","AC","Equatorial","Bujari","1200154","Gleissolo Melânico","Banana","3.0","5.5","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","13.00","0.66","179","Verão","23"
"Brasil","AC","Equatorial","Bujari","1200155","Gleissolo Melânico","Manga","3.0","5.5","A semente de manga (Mangifera indica) é usada para cultivar árvores que produzem frutos suculentos e doces em uma variedade de cores e sabores. As mangas são apreciadas em todo o mundo e podem ser consumidas frescas ou processadas.","300","400","5-10 anos","70-80","150","2.00","70","Primavera","24"
"Brasil","AC","Equatorial","Bujari","1200158","Gleissolo Melânico","Limão","3.0","5.5","Indisponivel","200","300","6-9 meses (para frutificação)","70-80","120.60","0.12","50","Verão","25"
"Brasil","AC","Equatorial","Bujari","1200159","Gleissolo Melânico","Goiaba","3.0","5.5","A semente de goiaba (Psidium guajava) é usada para cultivar árvores que produzem frutas aromáticas e repletas de vitamina C. As goiabas são consumidas frescas, em sucos e outros produtos.","300","400","3-4 anos","60-80","19.66","1.22","30","Outono","26"
"Brasil","AC","Equatorial","Bujari","1200160","Gleissolo Melânico","Lichia","3.0","5.5","A semente de lichia (Litchi chinensis) é usada para cultivar árvores que produzem frutos pequenos e suculentos. As lichias são consumidas frescas e são apreciadas por seu sabor doce e refrescante.","300","400","3-5 anos","60-70","70.00","0.39","165","Primavera","27"
"Brasil","AC","Equatorial","Bujari","1200161","Gleissolo Melânico","Cupuaçu","3.0","5.5","A semente de cupaçu (Syzygium aromaticum) é usada para cultivar árvores que produzem botões florais conhecidos como cupula.","200","300","180-240","70-80","2.30","3.00","1","Primavera","28"
"Brasil","AC","Equatorial","Bujari","1200162","Gleissolo Melânico","Jaca","3.0","5.5","A semente de jaca (Artocarpus heterophyllus) é usada para cultivar árvores que produzem frutos grandes e com polpa suculenta. A jaca é apreciada por seu sabor doce e é consumida em diversas preparações culinárias.","300","400","6-8 meses","60-70","100","11.00","12","Verão","29"
"Brasil","AC","Equatorial","Bujari","1200163","Gleissolo Melânico","Tamarindo","3.0","5.5","A semente de tamarindo (Tamarindus indica) é usada para cultivar árvores que produzem vagens com polpa ácida e doce. O tamarindo é amplamente usado em culinária e também é transformado em pasta para uso culinário.","300","400","5-8 anos","60-80","120.00","0.90","200","Inverno","30"
"Brasil","AC","Equatorial","Bujari","1200164","Gleissolo Melânico","Graviola","3.0","5.5","A semente de graviola (Annona muricata) é usada para cultivar árvores que produzem frutos grandes e tropicais com polpa doce e suculenta. A graviola é valorizada por seu sabor único e é consumida fresca ou usada na fabricação de produtos.","200","300","6-8 meses","70-80","39.00","1.00","45","Inverno","31"
"Brasil","AC","Equatorial","Capixaba","1200179","Gleissolo Melânico","Acelga","3.0","5.5","A semente de acelga (Beta vulgaris var. cicla) é usada para cultivar plantas de folhas verdes com talos coloridos. A acelga é consumida cozida e suas folhas e talos são usados separadamente em preparações culinárias.","20","30","50-60","50-70","0.50","o.75","1","Verão","32"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Melão","4.5","6.1","A semente de melão (Cucumis melo) é usada para cultivar plantas rasteiras que produzem frutos doces e suculentos. Os melões são consumidos frescos e são especialmente populares durante os meses quentes.","100","150","60-90","70-80","40.00","12.90","4","Verão","33"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Melão","4.5","6.1","A semente de melão (Cucumis melo) é usada para cultivar plantas rasteiras que produzem frutos doces e suculentos. Os melões são consumidos frescos e são especialmente populares durante os meses quentes.","100","150","60-90","70-80","40.00","12.90","4","Verão","34"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Melão","4.5","6.1","A semente de melão (Cucumis melo) é usada para cultivar plantas rasteiras que produzem frutos doces e suculentos. Os melões são consumidos frescos e são especialmente populares durante os meses quentes.","100","150","60-90","70-80","40.00","12.90","4","Verão","35"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Melão","4.5","6.1","A semente de melão (Cucumis melo) é usada para cultivar plantas rasteiras que produzem frutos doces e suculentos. Os melões são consumidos frescos e são especialmente populares durante os meses quentes.","100","150","60-90","70-80","40.00","12.90","4","Verão","36"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Melão","4.5","6.1","A semente de melão (Cucumis melo) é usada para cultivar plantas rasteiras que produzem frutos doces e suculentos. Os melões são consumidos frescos e são especialmente populares durante os meses quentes.","100","150","60-90","70-80","40.00","12.90","4","Verão","37"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Melão","4.5","6.1","A semente de melão (Cucumis melo) é usada para cultivar plantas rasteiras que produzem frutos doces e suculentos. Os melões são consumidos frescos e são especialmente populares durante os meses quentes.","100","150","60-90","70-80","40.00","12.90","4","Verão","38"
